Deployment_Type,Version_Control_Method,Model_Size_MB,Compression_Method,Performance_Score,Latency_ms
Edge,Mercurial,48,Quantization,0.365664398,85
Edge,SVN,2,Distillation,0.653638874,72
Edge,Mercurial,57,None,0.829982694,69
Cloud,SVN,84,Distillation,0.90877975,42
Cloud,Mercurial,24,Distillation,0.057844919,24
Cloud,Mercurial,26,Quantization,0.174867141,21
Cloud,SVN,26,None,0.692441544,54
Edge,SVN,48,Distillation,0.548889016,1
Edge,SVN,45,Distillation,0.957518355,38
Edge,Mercurial,23,Quantization,0.721548393,10
Edge,Mercurial,85,None,0.963476866,98
Edge,SVN,47,Pruning,0.081865928,58
Cloud,Mercurial,30,None,0.392569165,77
Edge,Mercurial,98,None,0.260962263,95
Cloud,SVN,21,Distillation,0.820930224,1
Edge,SVN,27,Distillation,0.920402197,3
Edge,Mercurial,72,Quantization,0.730698449,49
Cloud,SVN,25,Pruning,0.209111055,65
Edge,Mercurial,9,Pruning,0.271485541,8
Cloud,Git,12,Distillation,0.544931839,99
Cloud,SVN,17,Distillation,0.546722954,47
Cloud,Mercurial,32,Pruning,0.254466663,94
Cloud,Git,68,None,0.970627635,68
Edge,Git,8,None,0.471661503,82
Edge,Mercurial,8,Distillation,0.542364626,45
Edge,SVN,19,Quantization,0.395845675,68
Edge,Mercurial,83,None,0.353649925,18
Edge,Mercurial,72,Quantization,0.067937444,29
Cloud,SVN,76,Quantization,0.6921771,98
Edge,Git,77,None,0.760635194,19
Edge,Mercurial,33,Quantization,0.531307852,13
Cloud,SVN,21,Quantization,0.918784647,65
Cloud,SVN,87,Distillation,0.773389285,16
Edge,SVN,37,None,0.851474026,38
Edge,Mercurial,26,Pruning,0.944194185,7
Cloud,Git,19,None,0.813712856,88
Edge,Mercurial,39,Pruning,0.976223658,21
Edge,Git,71,Distillation,0.224111354,16
Edge,Git,52,Pruning,0.248419109,66
Cloud,SVN,4,Quantization,0.481250448,13
Edge,SVN,98,Pruning,0.425025729,36
Edge,Mercurial,31,None,0.693608121,66
Edge,Mercurial,69,Quantization,0.662176468,26
Edge,SVN,60,Quantization,0.874857389,12
Cloud,Git,44,None,0.639882591,10
Edge,SVN,11,Distillation,0.447829499,12
Cloud,Mercurial,76,Distillation,0.778833922,9
Edge,Git,40,Quantization,0.237767899,15
Cloud,Git,98,Quantization,0.908904027,61
Cloud,Git,88,Distillation,0.900333076,93
Cloud,Mercurial,84,Pruning,0.140734242,80
Edge,Mercurial,56,Pruning,0.296695945,41
Edge,Git,56,Distillation,0.45766521,53
Edge,Git,4,Distillation,0.581673688,64
Cloud,Git,43,Distillation,0.574590317,12
Edge,Git,31,Pruning,0.368882877,39
Edge,Mercurial,64,Quantization,0.507001278,57
Cloud,Mercurial,61,None,0.765981555,17
Edge,Git,92,Distillation,0.534363289,4
Cloud,Mercurial,70,None,0.367980052,15
Cloud,SVN,56,Quantization,0.826168425,98
Edge,Mercurial,7,Pruning,0.266982874,46
Edge,Git,21,None,0.438136464,53
Edge,Mercurial,50,Pruning,0.559719867,74
Edge,Git,99,Quantization,0.986668394,94
Edge,Mercurial,4,Pruning,0.473156684,41
Cloud,Mercurial,85,Pruning,0.516396593,32
Edge,Git,27,Quantization,0.806538623,60
Cloud,Mercurial,91,None,0.374389936,54
Cloud,SVN,37,Pruning,0.116063081,28
Cloud,Git,3,Pruning,0.854984778,82
Edge,Mercurial,15,None,0.014102836,23
Edge,SVN,67,Pruning,0.387852471,17
Edge,SVN,70,Quantization,0.963541134,86
Cloud,Mercurial,86,Distillation,0.572805954,90
Edge,Git,79,Quantization,0.672922077,47
Cloud,Mercurial,28,Distillation,0.416283733,79
Edge,Mercurial,16,None,0.185592892,78
Cloud,SVN,56,Distillation,0.615103385,13
Cloud,Mercurial,17,Pruning,0.036310687,10
Cloud,Git,89,Distillation,0.365506055,37
Cloud,Git,90,Distillation,0.759769529,60
Cloud,Git,55,Pruning,0.477947201,27
Edge,Git,16,Pruning,0.156006489,96
Edge,SVN,15,Pruning,0.006233632,5
Cloud,SVN,93,Quantization,0.566542723,27
Cloud,Mercurial,29,Quantization,0.114644966,65
Edge,Mercurial,15,Distillation,0.328846318,99
Cloud,Git,19,Pruning,0.279147124,50
Edge,SVN,97,Quantization,0.536285126,30
Edge,SVN,88,Distillation,0.303367415,2
Cloud,Mercurial,13,Distillation,0.006996894,27
Cloud,Mercurial,23,Distillation,0.837443577,94
Cloud,SVN,45,None,0.654570625,44
Cloud,SVN,70,Quantization,0.786652598,70
Edge,SVN,81,Distillation,0.705367427,92
Cloud,Mercurial,78,Distillation,0.331482723,71
Cloud,SVN,57,Quantization,0.065312761,47
Edge,Git,41,Distillation,0.228953506,86
Edge,SVN,83,Pruning,0.966192873,66
Cloud,SVN,37,Pruning,0.979530475,11
Cloud,SVN,39,Pruning,0.076011347,78
Edge,SVN,12,None,0.568650821,34
Cloud,Git,83,Quantization,0.530575039,78
Edge,Mercurial,52,Pruning,0.809981966,10
Edge,Git,36,None,0.674077705,61
Edge,Git,45,Quantization,0.091955242,79
Cloud,SVN,82,Pruning,0.435532329,38
Cloud,Mercurial,90,Pruning,0.467665563,48
Cloud,Mercurial,41,None,0.660317344,73
Cloud,Mercurial,89,Pruning,0.842997418,21
Cloud,Mercurial,91,None,0.923629691,88
Edge,Mercurial,81,Pruning,0.086379264,25
Edge,SVN,12,Quantization,0.422217687,4
Cloud,SVN,35,None,0.071947765,61
Edge,SVN,36,Quantization,0.139874008,58
Cloud,Mercurial,98,Distillation,0.510917144,37
Cloud,Git,21,Distillation,0.953729919,96
Cloud,Git,10,None,0.754943366,68
Cloud,SVN,94,Quantization,0.35692754,96
Cloud,SVN,35,None,0.831428629,26
Edge,SVN,43,Quantization,0.327639719,75
Cloud,SVN,42,None,0.654696799,96
Cloud,Mercurial,96,None,0.893267101,46
Cloud,Mercurial,21,Pruning,0.669831462,96
Edge,SVN,50,None,0.801341638,33
Edge,SVN,94,Pruning,0.638055231,56
Edge,Mercurial,18,Pruning,0.436449567,20
Edge,SVN,99,Distillation,0.55592817,46
Edge,Git,55,Pruning,0.616652396,23
Edge,Git,5,Pruning,0.514084046,52
Edge,SVN,11,None,0.643762196,79
Edge,SVN,11,Pruning,0.298908331,74
Cloud,SVN,94,Pruning,0.129467788,7
Edge,SVN,38,Pruning,0.202359961,72
Cloud,Git,43,Distillation,0.692029088,35
Cloud,SVN,49,None,0.247085838,30
Edge,Mercurial,59,Quantization,0.186372687,53
Edge,SVN,74,Distillation,0.287708858,18
Cloud,Mercurial,65,Pruning,0.24711894,34
Edge,Git,83,Quantization,0.635066138,41
Cloud,SVN,12,Distillation,0.038635786,70
Cloud,Mercurial,73,Distillation,0.571814719,26
Edge,SVN,81,Quantization,0.176847639,50
Edge,SVN,76,None,0.969138682,11
Cloud,SVN,8,None,0.425369433,26
Cloud,Git,18,Quantization,0.409823359,38
Edge,SVN,12,Quantization,0.057127384,24
Edge,SVN,44,Pruning,0.593775384,40
Edge,Git,52,Distillation,0.875307629,38
Edge,Mercurial,27,Quantization,0.376691935,93
Cloud,Git,45,Distillation,0.350098367,66
Edge,SVN,92,Distillation,0.425120775,81
Cloud,SVN,98,None,0.781925511,81
Edge,Git,69,Distillation,0.120873138,73
Cloud,Mercurial,78,Pruning,0.185175483,24
Edge,SVN,71,Quantization,0.674851481,28
Edge,Git,73,Distillation,0.707161985,22
Edge,Mercurial,27,Pruning,0.822604882,33
Edge,Mercurial,16,None,0.583821915,8
Cloud,Git,33,Quantization,0.775845487,72
Edge,SVN,14,Pruning,0.067319697,67
Cloud,Git,17,None,0.562341569,38
Edge,SVN,15,None,0.611995235,99
Cloud,Git,23,Quantization,0.640997935,33
Cloud,Git,77,None,0.762758092,72
Cloud,SVN,52,None,0.595309426,24
Edge,Mercurial,81,None,0.389528378,5
Edge,Git,88,Pruning,0.245799287,15
Cloud,SVN,53,None,0.615846022,91
Cloud,Git,43,Quantization,0.060260999,52
Cloud,Mercurial,74,None,0.793813448,25
Edge,Mercurial,40,Quantization,0.631643585,58
Cloud,Mercurial,35,Distillation,0.903110481,48
Edge,Mercurial,40,Quantization,0.848421044,48
Cloud,Mercurial,99,Quantization,0.337113264,46
Edge,Mercurial,99,Quantization,0.836813375,43
Cloud,Mercurial,49,None,0.549296462,30
Edge,SVN,90,Distillation,0.16985677,30
Cloud,Mercurial,39,Quantization,0.330498932,1
Cloud,Git,13,Pruning,0.906663772,84
Edge,Git,6,None,0.36974262,5
Cloud,SVN,19,Quantization,0.978239894,13
Edge,Mercurial,9,Pruning,0.102192955,1
Cloud,SVN,49,Quantization,0.357473627,45
Edge,Git,97,Distillation,0.606783728,48
Cloud,SVN,98,Pruning,0.159711957,45
Edge,Mercurial,21,None,0.311360165,33
Cloud,Mercurial,7,Pruning,0.112557592,88
Cloud,SVN,92,Distillation,0.765757927,61
Cloud,Mercurial,17,Pruning,0.71497994,74
Cloud,SVN,12,None,0.330950341,53
Cloud,SVN,26,None,0.896305242,89
Cloud,Mercurial,82,Pruning,0.750525863,63
Edge,Mercurial,2,Distillation,0.873854726,80
Edge,Mercurial,4,Quantization,0.508387132,10
Edge,SVN,85,Pruning,0.546019355,48
Cloud,SVN,56,Pruning,0.70615621,63
Cloud,Git,24,Quantization,0.302861366,63
Cloud,Mercurial,23,None,0.167937463,75
Edge,Git,22,Distillation,0.27564175,76
Cloud,SVN,7,None,0.705506329,41
Edge,Git,10,Distillation,0.006705589,92
Cloud,SVN,17,Distillation,0.420522872,67
Edge,Git,65,Distillation,0.148587017,84
Cloud,SVN,36,Pruning,0.307504207,39
Cloud,SVN,26,None,0.642298825,23
Edge,Mercurial,15,Quantization,0.234268,34
Edge,Git,41,Quantization,0.306737123,81
Edge,Mercurial,78,None,0.187014214,24
Cloud,Mercurial,63,Quantization,0.076187553,80
Edge,Git,86,Pruning,0.270875426,98
Cloud,SVN,25,Distillation,0.689773132,43
Cloud,Git,32,Quantization,0.267615774,3
Cloud,SVN,54,Pruning,0.707404491,79
Edge,SVN,63,None,0.582024717,26
Edge,Mercurial,68,Quantization,0.811399149,44
Cloud,SVN,34,None,0.200522079,90
Cloud,Mercurial,52,None,0.372737923,50
Edge,Mercurial,22,Distillation,0.671743789,23
Cloud,Mercurial,92,None,0.833271348,61
Edge,SVN,57,Quantization,0.013506036,73
Cloud,Git,1,Pruning,0.485388021,4
Cloud,Mercurial,73,Distillation,0.574454228,26
Edge,SVN,53,Pruning,0.726334343,13
Cloud,SVN,90,None,0.22610358,13
Cloud,Git,9,None,0.461320857,67
Edge,Mercurial,6,Pruning,0.765363143,76
Cloud,SVN,98,Distillation,0.976821703,59
Cloud,SVN,53,Pruning,0.188478399,53
Cloud,SVN,49,Quantization,0.907505371,61
Cloud,SVN,72,None,0.05626618,96
Cloud,SVN,32,Distillation,0.871274403,67
Cloud,Git,49,Pruning,0.832113177,9
Cloud,Git,50,Pruning,0.49640514,9
Edge,Mercurial,90,None,0.595861344,74
Edge,Git,27,None,0.528597131,76
Edge,Git,41,Pruning,0.774376867,24
Cloud,Mercurial,54,None,0.305934336,21
Cloud,Git,94,None,0.059762457,64
Edge,SVN,41,Distillation,0.081953328,1
Edge,SVN,3,Quantization,0.594646698,37
Edge,SVN,14,None,0.196556848,54
Edge,Mercurial,4,Pruning,0.129299011,35
Edge,Git,5,Pruning,0.890133881,83
Cloud,SVN,15,Distillation,0.692426649,45
Cloud,Mercurial,50,None,0.966105901,81
Cloud,Mercurial,23,Quantization,0.25099923,7
Edge,SVN,65,Pruning,0.231422853,11
Cloud,Mercurial,6,Pruning,0.116599219,95
Cloud,Git,70,Quantization,0.682008718,46
Cloud,SVN,19,Pruning,0.246057793,59
Cloud,Git,42,Pruning,0.958581895,9
Edge,SVN,70,None,0.057444092,73
Edge,SVN,36,Pruning,0.915758665,97
Cloud,Mercurial,70,Pruning,0.342875548,82
Edge,Git,26,Pruning,0.286584754,47
Cloud,Mercurial,33,Quantization,0.521232137,65
Edge,Git,75,Quantization,0.372259512,14
Cloud,SVN,99,None,0.599765497,11
Cloud,Git,99,None,0.487082988,34
Edge,SVN,9,Pruning,0.438306666,22
Edge,Git,64,None,0.672393883,71
Cloud,Mercurial,57,Pruning,0.230489202,49
Edge,SVN,70,Quantization,0.873574924,56
Cloud,SVN,90,Pruning,0.508101359,91
Cloud,Mercurial,46,None,0.964448912,35
Cloud,Mercurial,84,Distillation,0.276384887,6
Cloud,Git,75,None,0.95136831,33
Edge,SVN,64,Pruning,0.052341457,2
Cloud,Git,76,Quantization,0.700439787,39
Cloud,Mercurial,66,Pruning,0.39593713,54
Edge,Mercurial,84,Quantization,0.096779348,56
Edge,SVN,36,Pruning,0.97697804,72
Cloud,SVN,20,None,0.843555415,91
Cloud,Git,93,Pruning,0.03962846,46
Cloud,SVN,85,Quantization,0.056785718,53
Cloud,Mercurial,50,Quantization,0.949755179,94
Cloud,Git,48,None,0.359013931,63
Cloud,Git,29,Quantization,0.230539314,80
Edge,Mercurial,95,Quantization,0.186434746,42
Cloud,SVN,84,Distillation,0.003092775,85
Cloud,Mercurial,25,Distillation,0.950988107,78
Edge,SVN,77,Distillation,0.243968045,58
Cloud,Git,56,Distillation,0.118304792,14
Edge,Mercurial,5,None,0.453783944,63
Cloud,SVN,2,Pruning,0.049096499,92
Edge,SVN,87,Quantization,0.730489405,93
Edge,SVN,74,None,0.633362646,31
Cloud,Git,12,None,0.002010168,3
Edge,Git,67,Distillation,0.313129752,3
Edge,Git,8,Distillation,0.51707083,10
Cloud,Mercurial,93,None,0.300669084,36
Edge,SVN,35,Distillation,0.212441332,61
Cloud,Git,53,Distillation,0.902488917,88
Cloud,Git,51,Quantization,0.033246284,42
Edge,SVN,96,Pruning,0.166645018,18
Cloud,Git,49,Pruning,0.775226715,76
Edge,SVN,43,Distillation,0.574004022,75
Edge,Git,51,Distillation,0.031823078,9
Cloud,Git,39,None,0.437353215,57
Cloud,SVN,52,Quantization,0.165301942,69
Cloud,Git,14,Pruning,0.034474055,65
Edge,SVN,19,None,0.871652385,41
Edge,SVN,41,Quantization,0.719857098,9
Cloud,Mercurial,76,None,0.883704237,62
Edge,SVN,81,Distillation,0.224538221,93
Edge,Git,8,None,0.030746933,75
Edge,Mercurial,80,Distillation,0.3533809,69
Edge,SVN,75,Pruning,0.497811086,7
Cloud,Git,41,Quantization,0.87480451,35
Cloud,Mercurial,5,Quantization,0.466215153,96
Edge,Mercurial,36,Pruning,0.441967324,22
Edge,Git,30,None,0.803423585,71
Edge,Git,96,None,0.989523632,75
Cloud,Mercurial,64,Pruning,0.056563857,84
Cloud,Git,7,Pruning,0.87104685,54
Edge,SVN,79,None,0.281586439,54
Edge,SVN,51,Pruning,0.739036795,13
Edge,Git,38,Pruning,0.549662453,57
Cloud,SVN,73,Distillation,0.934874269,91
Edge,SVN,37,None,0.345199181,89
Edge,SVN,16,Pruning,0.126402493,99
Edge,Git,34,Pruning,0.026284095,70
Edge,Mercurial,55,Pruning,0.50241711,60
Edge,Mercurial,21,Distillation,0.879202293,99
Edge,Git,30,Pruning,0.34261309,90
Cloud,Mercurial,15,None,0.243534637,75
Cloud,Mercurial,57,Quantization,0.947333566,52
Edge,Mercurial,68,Pruning,0.242252368,75
Cloud,SVN,54,Quantization,0.227840042,88
Edge,Git,26,Pruning,0.912851564,47
Cloud,Mercurial,81,Quantization,0.613578812,73
Edge,Mercurial,60,None,0.738937302,65
Cloud,Mercurial,86,None,0.190706153,62
Cloud,Git,39,None,0.277644104,76
Cloud,Mercurial,93,None,0.93015929,12
Cloud,SVN,37,Distillation,0.631992482,90
Cloud,SVN,24,Pruning,0.407096214,58
Edge,Git,19,None,0.341201524,67
Edge,SVN,30,Quantization,0.232188936,51
Cloud,SVN,10,Pruning,0.383573234,13
Cloud,SVN,29,Distillation,0.152531046,30
Edge,Git,90,Distillation,0.900100429,18
Cloud,Mercurial,83,None,0.634095911,31
Edge,SVN,72,None,0.182845519,24
Cloud,Git,97,Quantization,0.055580205,52
Edge,Mercurial,90,Distillation,0.051500472,81
Cloud,SVN,86,None,0.52175581,39
Edge,SVN,33,Distillation,0.939929829,26
Cloud,Git,75,None,0.267219458,57
Edge,Git,57,Distillation,0.781183911,83
Cloud,SVN,79,Pruning,0.900599005,96
Edge,Mercurial,79,Quantization,0.827345523,34
Cloud,Git,10,Distillation,0.598630114,47
Edge,Git,67,Quantization,0.055024866,89
Cloud,Mercurial,59,None,0.284728976,78
Edge,SVN,56,Quantization,0.265019818,8
Cloud,SVN,80,Pruning,0.515652842,85
Edge,Git,55,None,0.96088411,91
Edge,Git,85,Quantization,0.347085846,35
Cloud,SVN,13,Pruning,0.07566283,94
Edge,Mercurial,75,Quantization,0.296154971,2
Edge,Git,8,Quantization,0.116489695,82
Cloud,SVN,99,Distillation,0.394803463,8
Edge,Mercurial,4,Quantization,0.8476071,23
Cloud,SVN,30,None,0.804496293,22
Edge,SVN,98,None,0.337841242,80
Edge,Git,98,Quantization,0.937543996,72
Cloud,SVN,83,Quantization,0.747152057,94
Cloud,SVN,25,Distillation,0.116186722,98
Edge,Mercurial,77,Pruning,0.144502097,52
Edge,Git,90,Pruning,0.195818076,62
Cloud,Mercurial,44,None,0.756541118,80
Edge,Git,40,Distillation,0.529700893,28
Edge,Git,69,Distillation,0.122285256,43
Edge,SVN,69,Pruning,0.010890706,11
Cloud,Git,3,None,0.474662681,8
Edge,Mercurial,63,Pruning,0.301742094,77
Edge,SVN,29,Quantization,0.587426115,80
Cloud,Git,91,Quantization,0.138988175,25
Cloud,SVN,89,None,0.570529753,32
Edge,Git,53,Quantization,0.625206374,30
Edge,SVN,95,Quantization,0.57538849,77
Edge,Git,6,Pruning,0.279427367,42
Edge,Mercurial,92,Distillation,0.247563906,2
Cloud,Git,91,None,0.208112947,38
Cloud,SVN,44,Quantization,0.242150592,45
Edge,Mercurial,33,Distillation,0.779125438,66
Edge,Mercurial,24,Quantization,0.995459809,97
Cloud,SVN,94,Pruning,0.4526711,75
Edge,Git,35,Distillation,0.312174802,83
Cloud,Git,86,Quantization,0.23687654,25
Cloud,SVN,13,Quantization,0.416807764,86
Cloud,Mercurial,56,Distillation,0.086279896,44
Cloud,Git,26,None,0.97059307,98
Cloud,Mercurial,63,None,0.367030901,92
Edge,SVN,6,Pruning,0.767037314,11
Edge,Git,32,Distillation,0.866714428,50
Cloud,Mercurial,83,Distillation,0.804323115,74
Edge,Mercurial,61,Distillation,0.215649894,39
Cloud,Git,22,Quantization,0.28554893,89
Edge,SVN,30,None,0.827442133,9
Cloud,Git,12,Quantization,0.822832296,1
Cloud,Mercurial,56,None,0.107492811,17
Edge,Git,3,Quantization,0.489435073,32
Cloud,Mercurial,38,Quantization,0.155525917,42
Cloud,Git,92,Distillation,0.249727349,79
Cloud,Git,45,Quantization,0.744781258,17
Edge,Git,42,Distillation,0.003077879,80
Edge,Git,32,Quantization,0.909414434,56
Cloud,Mercurial,77,Pruning,0.019458,78
Cloud,Git,15,Pruning,0.593997183,24
Edge,Mercurial,96,Distillation,0.459584134,1
Edge,SVN,73,None,0.455241836,60
Cloud,Mercurial,89,Pruning,0.631794044,88
Edge,Git,22,Distillation,0.897825175,6
Cloud,Mercurial,86,Distillation,0.19177006,80
Edge,SVN,27,Pruning,0.565992722,90
Cloud,Mercurial,37,None,0.843600645,95
Edge,Mercurial,20,Pruning,0.434784416,86
Edge,Mercurial,73,Quantization,0.078538827,21
Edge,Git,56,Quantization,0.643256578,2
Cloud,Mercurial,26,Distillation,0.881445028,34
Cloud,Mercurial,70,Pruning,0.398497221,19
Edge,Git,85,Distillation,0.515727293,82
Cloud,SVN,55,Quantization,0.230500435,35
Cloud,Mercurial,14,None,0.436849298,1
Cloud,Git,28,Quantization,0.358268017,21
Edge,SVN,22,None,0.102694596,66
Cloud,Mercurial,83,Pruning,0.832744901,5
Cloud,Mercurial,23,Pruning,0.441971929,49
Cloud,SVN,52,None,0.697833696,51
Cloud,Git,31,Quantization,0.381634285,27
Cloud,Mercurial,71,Quantization,0.879277806,37
Edge,SVN,47,Pruning,0.223426598,91
Cloud,Git,75,None,0.377298404,65
Edge,Git,13,Pruning,0.134213635,55
Cloud,Mercurial,76,Pruning,0.001814623,89
Cloud,Git,55,Quantization,0.580750432,92
Edge,Git,73,None,0.089737394,36
Edge,Git,6,Quantization,0.222213652,23
Edge,Mercurial,36,Pruning,0.001089724,24
Edge,SVN,95,Distillation,0.662553045,65
Edge,Git,39,Quantization,0.969716741,85
Edge,SVN,79,Quantization,0.982320849,70
Edge,SVN,39,Pruning,0.128779343,3
Edge,SVN,29,Distillation,0.922224,29
Edge,Mercurial,66,Quantization,0.109399725,85
Cloud,SVN,71,Distillation,0.229476907,25
Edge,Mercurial,61,Pruning,0.860792858,69
Edge,Mercurial,50,Pruning,0.158264161,92
Cloud,Git,42,Pruning,0.10783597,62
Cloud,Git,93,None,0.161033385,32
Cloud,Git,54,None,0.720524097,7
Cloud,Mercurial,81,Quantization,0.39043322,41
Cloud,Mercurial,98,None,0.073746998,5
Cloud,Mercurial,72,Quantization,0.370372527,25
Cloud,SVN,36,Quantization,0.679360886,17
Cloud,Mercurial,76,Distillation,0.332861319,58
Cloud,Mercurial,16,None,0.58736137,96
Cloud,Mercurial,38,None,0.905821856,62
Cloud,Git,28,Quantization,0.462481776,38
Edge,Mercurial,13,Distillation,0.772574599,85
Edge,Mercurial,79,Quantization,0.124769212,64
Edge,SVN,1,Quantization,0.008439357,84
Cloud,Git,53,None,0.772754131,12
Cloud,Mercurial,8,Pruning,0.172718237,26
Cloud,Git,85,Pruning,0.245249034,57
Cloud,Mercurial,54,None,0.926388869,70
Edge,Git,33,Quantization,0.049857521,43
Cloud,Mercurial,40,Pruning,0.827471116,87
Edge,Git,42,Pruning,0.737432539,62
Cloud,Git,99,Quantization,0.821181392,1
Edge,SVN,30,Pruning,0.288552301,45
Edge,SVN,47,Pruning,0.459452445,31
Cloud,SVN,35,None,0.388031307,71
Edge,SVN,27,Pruning,0.481729221,67
Cloud,SVN,4,Distillation,0.817250384,41
Edge,Mercurial,58,Quantization,0.826636759,88
Cloud,SVN,31,Quantization,0.086605404,10
Edge,SVN,20,Distillation,0.869136187,32
Edge,SVN,39,None,0.719855387,90
Edge,SVN,63,Pruning,0.031510091,21
Edge,SVN,63,Pruning,0.086517072,86
Edge,Mercurial,3,Pruning,0.816394541,22
Cloud,Mercurial,22,Pruning,0.278805335,11
Edge,Mercurial,87,Distillation,0.133640048,94
Cloud,Git,89,Distillation,0.016998947,28
Edge,SVN,49,Quantization,0.920314356,14
Edge,SVN,23,None,0.308113585,71
Cloud,Mercurial,16,Quantization,0.426343702,11
Cloud,Mercurial,77,None,0.305074069,44
Edge,SVN,92,None,0.985322851,70
Cloud,SVN,38,Quantization,0.914096555,25
Edge,Git,96,Distillation,0.085706459,59
Cloud,Git,18,Quantization,0.52128576,29
Cloud,Mercurial,15,Pruning,0.425225125,47
Cloud,SVN,38,Pruning,0.401787092,57
Cloud,SVN,5,Pruning,0.137667319,22
Edge,Mercurial,25,None,0.058093444,83
Edge,Mercurial,32,Distillation,0.306138582,42
Edge,SVN,78,Distillation,0.343754375,5
Edge,SVN,35,Pruning,0.909901838,58
Edge,Mercurial,78,Distillation,0.725141908,76
Cloud,Mercurial,42,Quantization,0.710287916,95
Edge,Git,37,Distillation,0.934699765,30
Edge,Mercurial,47,Distillation,0.357279437,65
Cloud,Mercurial,84,Quantization,0.043730674,45
Cloud,Mercurial,47,Distillation,0.389610583,11
Edge,Git,21,Distillation,0.311876538,59
Cloud,SVN,94,Pruning,0.951572989,67
Cloud,SVN,61,Pruning,0.463985782,67
Cloud,SVN,76,None,0.267414119,9
Edge,Git,68,Pruning,0.499817341,39
Cloud,SVN,87,Distillation,0.576915389,23
Edge,SVN,49,None,0.193578593,50
Cloud,Git,24,Distillation,0.813695082,58
Edge,Mercurial,79,Quantization,0.312373713,99
Edge,Mercurial,57,None,0.910902305,87
Edge,Mercurial,70,Quantization,0.350858547,26
Cloud,Git,79,None,0.693446135,74
Cloud,Git,36,Quantization,0.220870742,6
Edge,Mercurial,72,Quantization,0.291102527,12
Edge,SVN,79,Distillation,0.698071485,59
Edge,Mercurial,14,Quantization,0.011639405,41
Edge,SVN,62,Quantization,0.827841515,72
Edge,SVN,39,Pruning,0.617279731,98
Edge,SVN,3,None,0.136830614,17
Cloud,SVN,41,None,0.061738862,41
Cloud,Mercurial,67,Pruning,0.439542996,20
Edge,Git,63,Pruning,0.995845368,53
Edge,Mercurial,44,Pruning,0.15679706,28
Edge,Git,4,Distillation,0.562532556,5
Edge,SVN,35,Quantization,0.064166041,67
Cloud,Mercurial,59,None,0.162146091,58
Edge,Git,79,None,0.790126736,44
Edge,Git,43,Pruning,0.593932337,5
Cloud,Mercurial,90,Distillation,0.198220976,16
Edge,Git,13,Pruning,0.80738853,34
Cloud,SVN,68,Quantization,0.238533754,32
Cloud,Git,51,Quantization,0.478413143,84
Edge,Git,74,Distillation,0.163972904,23
Cloud,Git,45,Pruning,0.689512748,47
Edge,Git,1,Pruning,0.941078048,58
Edge,SVN,56,None,0.281625264,8
Cloud,Git,36,None,0.595152771,91
Edge,Mercurial,60,Distillation,0.972243303,21
Cloud,SVN,23,Distillation,0.379410568,76
Cloud,SVN,54,Quantization,0.011829647,92
